rota,aktarma_sayısı,avg_pricekm,median_price,min_price,max_price,std_price
BOS-IAD,23692,0.4223444694214094,0.3733990147783251,0.039224137931034485,3.1960591133004925,0.23489645727575734
BOS-JFK,6096,0.8879287810541212,0.7491891891891892,0.034913793103448276,8.30054054054054,0.5384702719061293
BOS-LAX,72844,0.18982183826806553,0.17843738176314794,0.04378994165045846,1.5328511128165772,0.08087547683046886
BOS-LGA,19288,0.5024092473689076,0.4518918918918919,0.039224137931034485,3.7059459459459463,0.26280914218696283
BOS-MIA,47917,0.1841431749653297,0.1814285714285714,0.02204741379310345,1.7973015873015872,0.08953449682981222
BOS-OAK,57171,0.24616355778469282,0.23003057065217392,0.0743820975283901,1.3376436781609196,0.0835067235035732
BOS-ORD,19727,0.27215637254996633,0.24200696055684456,0.040660919540229885,2.7396867749419953,0.13906281760763725
BOS-PHL,15579,0.7184262329708596,0.5307142857142857,0.038785919540229884,6.845,0.49526410973723156
BOS-SFO,57560,0.20328332152166995,0.18957470010905125,0.05169029443838604,1.4357758620689653,0.08110705916652496
CLT-ATL,23370,0.7840356752675105,0.6451754385964912,0.10567528735632184,8.246052631578946,0.5178431509352136
CLT-BOS,31555,0.2836459463798829,0.2601149425287356,0.055380747126436786,2.2858516483516484,0.12231228544482611
CLT-DEN,33516,0.3219602958613483,0.2962721518987342,0.06025793650793651,1.8928623853211006,0.13869299189592083
CLT-DFW,72799,0.32238035417412486,0.28827956989247316,0.058660560961648546,2.3753763440860216,0.14500445357504582
CLT-DTW,35013,0.38252697009154096,0.37391826923076926,0.08770114942528735,3.9784158415841584,0.18812384453816886
CLT-EWR,24457,0.3571891544017284,0.361651376146789,0.05623563218390805,3.4240366972477063,0.16633301107858725
CLT-IAD,10498,0.4712419600033637,0.4383615084525358,0.07262931034482759,5.006422018348624,0.2723385273797887
CLT-JFK,32258,0.4017699846222408,0.3530141843971631,0.08604783599088837,3.1047706422018346,0.18272266752743438
CLT-LAX,78578,0.22657807075928144,0.215983026874116,0.07469457013574661,1.2570014144271568,0.0886002411337894
CLT-LGA,40436,0.34090269153798813,0.3286238532110092,0.0839367816091954,3.8823214285714283,0.120852555630148
CLT-MIA,48763,0.30953537709057305,0.28180715585203153,0.030948275862068966,3.3360429447852757,0.15842046926909137
CLT-OAK,34907,0.30592138156388016,0.29630280373831774,0.08654871122761032,0.8475239284228048,0.0863885651978137
CLT-ORD,39873,0.32834470934725823,0.29724528301886793,0.07404999999999999,3.4798986486486485,0.20242874220268206
CLT-PHL,34029,0.43076371009249936,0.39612394957983194,0.03770833333333334,4.675077951002227,0.23712085495432356
CLT-SFO,60984,0.2478560130394201,0.2389908256880734,0.05960770069015619,2.123347701149425,0.09886100273482512
DEN-ATL,30790,0.29022682717824455,0.27752727272727273,0.05197332106715731,1.4400862068965516,0.1162108703176794
DEN-BOS,47833,0.24204848393710232,0.23123477297895903,0.0563021115322144,1.2884855360181509,0.07439864065969849
DEN-CLT,32576,0.2780159448584584,0.25898959881129274,0.05364629905613512,1.449925705794948,0.11021967844653865
DEN-DFW,13253,0.28564029631797655,0.27476923076923077,0.050626883664858346,3.279384615384615,0.1504594469641641
DEN-DTW,29258,0.29229196290285325,0.2733862959285005,0.053721264367816095,1.830647985989492,0.11826783912994346
DEN-EWR,32999,0.2373663137461383,0.221221468229488,0.05234042553191489,1.514080459770115,0.08375228579973311
DEN-IAD,24219,0.28401039146536805,0.26733622830111947,0.09793169793169793,1.4839080459770115,0.12219878289935847
DEN-JFK,52722,0.2722080498555345,0.25705975674246434,0.047914893617021274,1.6764367816091954,0.09477991484260853
DEN-LAX,43032,0.27336105192615595,0.25778301886792454,0.037772988505747125,2.36834375,0.12001578354551033
DEN-LGA,31889,0.20266364171636733,0.19346082665021594,0.049148936170212765,1.0145589142504625,0.05984401424328109
DEN-MIA,40976,0.2158299092981736,0.21159633027522937,0.03073994252873563,1.5766958041958044,0.07676666176846456
DEN-OAK,32013,0.3000335468287077,0.30615989515072084,0.034978448275862065,2.100287356321839,0.11753020068262501
DEN-ORD,23082,0.3396819921375929,0.3306755260243633,0.0887787356321839,2.235437430786268,0.1391375045621714
DEN-PHL,39521,0.25730395115327237,0.24952508004268945,0.03662014827736589,1.3386088066368858,0.09027781591376073
DEN-SFO,35237,0.28241623072520516,0.26998561677230615,0.06118357487922705,1.8979035639412998,0.11140755120959607
DFW-ATL,16166,0.3404262399323283,0.3360137931034483,0.04451867816091954,2.8132413793103446,0.14998510255943637
DFW-BOS,41604,0.21431637694398942,0.20411311053984577,0.06004210526315789,1.4856041131105397,0.0672457311419632
DFW-CLT,47845,0.30860169977121166,0.2823655913978495,0.038071142284569134,2.376989247311828,0.13686532884681074
DFW-DEN,15582,0.3223688579385602,0.306268221574344,0.050626883664858346,3.279384615384615,0.14767783260748854
DFW-DTW,32952,0.29091376245703837,0.2723874620465777,0.05758620689655172,2.0337688442211053,0.11501291226997144
DFW-EWR,32869,0.23429406975564737,0.22072463768115944,0.05434880576836412,1.777246376811594,0.08504519378391535
DFW-IAD,26339,0.2745622399177003,0.2530628480509149,0.10248306997742664,2.0463891248937975,0.09652571566473973
DFW-JFK,22840,0.2509646105884353,0.2207439198855508,0.041653247450348894,1.8852173913043477,0.11794267779178749
DFW-LAX,57789,0.23480418587116478,0.23069466882067854,0.04296482412060301,2.019063004846527,0.08000415198013387
DFW-LGA,31331,0.18800348894245103,0.18232608695652175,0.04451867816091954,1.8156521739130433,0.05929096730872423
DFW-MIA,45995,0.23777655687502158,0.2214988644965935,0.039511494252873564,2.126995515695067,0.10915586936434485
DFW-OAK,73363,0.2789848280469517,0.28511258955987717,0.051217827997489015,0.8908860759493671,0.09589902140731073
DFW-ORD,32824,0.3224028446796571,0.3061326658322904,0.05214798850574713,2.815519399249061,0.13464192365857672
DFW-PHL,41887,0.2555706655115089,0.24755747126436783,0.04431034482758621,1.7500770416024654,0.09067144443466334
DFW-SFO,27213,0.25142240906176333,0.24359673024523162,0.043349650349650354,1.5010899182561308,0.10372019774752653
DTW-ATL,38324,0.35201744335446733,0.313519313304721,0.03073994252873563,1.8784768211920528,0.21159480882047332
DTW-BOS,40242,0.359909564674338,0.3353858520900322,0.05645833333333333,2.917910447761194,0.18359441870553445
DTW-CLT,37862,0.37173858931379866,0.35689320388349516,0.06477011494252874,3.9813861386138614,0.18710856048700653
DTW-DEN,28536,0.29552748246020516,0.2835783261802575,0.053721264367816095,1.7290805604203152,0.1176873135245523
DTW-DFW,36683,0.29536062108086947,0.26478448275862065,0.058030133928571426,2.0337688442211053,0.1357634676153243
DTW-EWR,25129,0.30700579549736134,0.24934640522875817,0.048764367816091954,2.7002061855670103,0.18585286869559733
DTW-IAD,9520,0.39960038378370644,0.35950721153846155,0.07801724137931033,3.3186700767263426,0.19678444979860607
