route,lead_time_bucket,flight_count,avg_price,median_price,min_price,max_price,std_price
ATL-PHL,0-3,2836,277.1053455571227,241.58,42.98,1627.61,130.37831166404698
ATL-PHL,4-7,3756,266.6768423855165,241.58,40.98,848.6,129.15980309087752
ATL-PHL,8-14,6751,269.39495037772184,248.6,40.98,1591.6,148.03486376809454
ATL-PHL,15-30,11498,275.8465228735433,258.6,33.98,1671.6,153.01215569346547
ATL-PHL,31-60,18125,273.95269903448275,241.6,42.79,1591.6,147.37954203481937
ATL-SFO,0-3,4952,579.1415185783522,577.19,274.0,1859.6,175.87337041589413
ATL-SFO,4-7,5912,571.1960317997293,563.1,192.99,2201.6,140.83569885238978
ATL-SFO,8-14,9094,569.9942016714317,547.2,217.99,1859.6,137.03926725784007
ATL-SFO,15-30,11745,582.538122605364,572.2,75.99,1761.61,146.1397257870884
ATL-SFO,31-60,20753,568.0513877511686,554.6,99.59,1660.7,142.10784182644366
BOS-ATL,0-3,5581,373.018279878158,371.6,92.96,1884.6,134.66720745159603
BOS-ATL,4-7,7094,343.0913574851987,349.21,66.97,1099.6,127.65933868285306
BOS-ATL,8-14,12129,321.74448017148984,318.6,66.97,1021.6,124.70002900613767
BOS-ATL,15-30,19193,297.31738446308555,296.6,66.97,1302.0,111.64002410933819
BOS-ATL,31-60,29977,304.0688331053808,297.2,55.88,1666.6,111.40785422329436
BOS-CLT,0-3,4086,219.84079050416054,167.6,97.6,1703.6,149.2730017596353
BOS-CLT,4-7,5223,202.70173080605014,167.6,78.6,1343.71,115.56300273255961
BOS-CLT,8-14,8521,195.27520830888395,153.6,78.6,1323.0,111.97634839389495
BOS-CLT,15-30,14681,217.07588583883933,198.6,78.6,857.6,100.82065258810098
BOS-CLT,31-60,23426,225.73361777512167,207.6,78.6,1741.61,95.55039910114574
BOS-DEN,0-3,3449,345.40527979124386,327.6,193.2,2373.6,125.669104169157
BOS-DEN,4-7,4231,382.70099740014183,357.6,173.99,1926.0,131.63332093643444
BOS-DEN,8-14,8228,432.74257899854155,407.6,163.78,1926.0,146.1965264331044
BOS-DEN,15-30,16683,482.23744350536475,467.6,134.78,2178.1,153.98776520713986
BOS-DEN,31-60,27246,454.1906433971959,437.6,111.78,2073.71,111.50464427447838
BOS-DFW,0-3,5063,306.989298834683,301.6,123.61,2311.6,157.26796823924272
BOS-DFW,4-7,6381,320.4105986522489,301.6,98.6,1517.6,131.43280560667338
BOS-DFW,8-14,9892,312.4858370400323,300.1,107.6,1526.6,126.27055316341729
BOS-DFW,15-30,16086,328.98726781051846,317.6,106.1,1455.6,107.52360731907139
BOS-DFW,31-60,23753,312.06655664547634,296.6,98.6,1010.61,102.74888341918725
BOS-DTW,0-3,4050,344.1759111111111,339.40999999999997,87.6,1966.6,134.59527809978786
BOS-DTW,4-7,5801,320.47865195655925,318.6,87.6,831.6,114.35851964074995
BOS-DTW,8-14,10264,299.6735405300078,298.6,78.6,1153.61,112.67294103234644
BOS-DTW,15-30,15011,258.988315235494,245.58,78.59,991.59,97.46258957406073
BOS-DTW,31-60,23636,271.5505639702149,268.59,95.16,741.61,97.23875248772136
BOS-EWR,0-3,2206,217.44484587488668,163.6,54.6,1239.6,167.7756892074173
BOS-EWR,4-7,2763,169.77816141874774,122.58,48.6,1098.6,140.21691049486714
BOS-EWR,8-14,4710,150.5973227176221,108.6,48.6,1239.6,127.24118737286277
BOS-EWR,15-30,9102,160.8840584486926,98.6,38.61,1028.61,128.0724017164845
BOS-EWR,31-60,15600,194.93594487179487,148.6,38.61,1028.61,138.55059382635662
BOS-IAD,0-3,1589,240.03495280050345,178.6,54.6,1297.6,158.6660891885498
BOS-IAD,4-7,2203,243.0227825692238,178.1,54.6,1071.6,150.5809503821884
BOS-IAD,8-14,4054,256.41947952639373,208.61,54.6,1431.6,154.4126811630861
BOS-IAD,15-30,8032,276.3051518924303,257.6,44.6,1893.59,151.8756549290614
BOS-IAD,31-60,13158,294.8624532603739,302.61,44.6,1863.6,128.18175944679658
BOS-JFK,0-3,3116,206.4006322207959,153.6,54.6,1631.2,166.08368817004617
BOS-JFK,4-7,4302,203.86336820083682,148.6,48.6,1535.6,139.60409987232217
BOS-JFK,8-14,7587,202.55255700540397,153.6,48.6,1535.6,131.9125811474678
BOS-JFK,15-30,13534,200.5243150583715,158.6,43.6,1535.6,130.39647953862084
BOS-JFK,31-60,20905,193.29060224826597,148.6,43.6,1535.6,119.6107217374356
BOS-LAX,0-3,6774,430.0307248302332,351.6,198.6,3619.6,258.29640920437816
BOS-LAX,4-7,8681,454.49758668356185,387.6,161.58,2655.6,242.26479926877442
BOS-LAX,8-14,15035,484.02880345859666,446.6,170.58,3204.09,216.43049011406902
BOS-LAX,15-30,26682,523.9627831496889,485.35,124.78,3994.61,207.10753075138717
BOS-LAX,31-60,40311,486.47994939346586,473.6,127.96,2744.1,164.5275848254074
BOS-LGA,0-3,4090,180.6549217603912,148.6,54.6,786.1,103.33531686657817
BOS-LGA,4-7,5250,152.42702476190476,118.6,48.6,628.6,97.9630810724902
BOS-LGA,8-14,8664,147.21785895660204,108.6,48.6,951.59,96.10941348462322
BOS-LGA,15-30,17534,136.6507682217406,108.6,43.6,978.6,87.793283032992
BOS-LGA,31-60,28490,148.13024324324323,108.6,43.6,984.2,104.52043326043929
BOS-MIA,0-3,5060,276.87750395256916,237.6,42.79,2273.6,190.70796008081183
BOS-MIA,4-7,6254,226.961909178126,228.6,30.69,2264.6,109.32345915013312
BOS-MIA,8-14,9799,197.77247780385753,172.6,30.69,968.6,96.59816751968327
BOS-MIA,15-30,18321,233.06052890126085,222.6,30.69,968.6,95.62739553633129
BOS-MIA,31-60,31585,253.0371359822701,242.61,30.69,993.6,106.26952043547288
BOS-OAK,0-3,2624,617.4010213414634,601.61,218.58,2177.6,186.21220270641703
BOS-OAK,4-7,3158,624.5053451551615,593.71,178.58,3214.1,198.3388179900484
BOS-OAK,8-14,5421,659.6273270614279,641.71,195.68,3244.09,213.24572604714595
BOS-OAK,15-30,9860,721.4222322515213,686.1,134.78,3244.09,261.1869368896582
BOS-OAK,31-60,15328,715.0601800626305,707.19,129.78,2944.1,256.5618065815818
BOS-ORD,0-3,4335,234.5518362168397,204.6,63.6,2361.61,206.3532561670155
BOS-ORD,4-7,5710,244.953180385289,208.61,56.6,2361.61,161.37017977285566
BOS-ORD,8-14,9766,248.42468769199263,213.6,56.6,2361.61,126.969361327945
BOS-ORD,15-30,16684,261.7052307600096,244.6,63.6,1612.0,114.81042282553936
BOS-ORD,31-60,24029,237.63001290107786,218.6,74.6,2492.4,91.0755762854892
BOS-PHL,0-3,2478,271.3616424535916,224.58,33.97,1916.6,179.1612199715939
BOS-PHL,4-7,3273,241.25092270088604,186.1,33.97,1916.6,143.72994335855185
BOS-PHL,8-14,5742,241.00446534308603,188.6,33.97,1121.61,143.18438492875308
BOS-PHL,15-30,9634,210.01287523354785,188.6,38.98,1581.6,127.80349862400995
BOS-PHL,31-60,13733,204.90540522828226,158.6,33.97,1571.6,127.44088687539536
BOS-SFO,0-3,4809,401.81991682262424,360.11,198.6,2534.6,150.97513724770974
BOS-SFO,4-7,5726,463.0399825358016,413.6,198.6,2415.6,182.45582727513718
BOS-SFO,8-14,11130,552.1975417789758,511.61,185.19,3113.6,220.72253167140158
BOS-SFO,15-30,20638,618.227598604516,584.6,179.6,3149.6,214.26775634594648
BOS-SFO,31-60,32352,555.7066635756677,531.35,142.2,3149.6,168.44207247726294
CLT-ATL,0-3,4584,437.00482111692844,407.1,278.2,1880.1,76.22905861550663
CLT-ATL,4-7,5581,413.1905733739473,407.1,265.2,1355.1,69.32048731719505
CLT-ATL,8-14,7626,381.5802989771833,357.1,141.7,1635.6,87.73571166217307
CLT-ATL,15-30,9200,283.6561695652174,277.1,147.1,1880.1,100.97839640000659
CLT-ATL,31-60,13936,277.372588978186,258.7,147.1,818.1,103.53820454166745
CLT-BOS,0-3,3497,211.91193308550186,177.1,97.1,1664.1,112.48170852434193
CLT-BOS,4-7,4145,215.14762605548856,177.1,77.1,933.1,107.30464097902374
CLT-BOS,8-14,7131,220.88570747440752,186.1,77.1,1760.11,113.86156201737217
CLT-BOS,15-30,13046,230.6903096734631,210.11,77.09,1673.1,107.51311674770484
CLT-BOS,31-60,19287,233.25908435733913,207.11,77.1,800.08,98.8131943245123
CLT-DEN,0-3,2535,415.9747140039448,398.1,171.48,2033.1,196.8081810743474
CLT-DEN,4-7,3418,454.95538033937976,435.1,156.49,1950.1,146.19720608761398
CLT-DEN,8-14,6682,496.62533223585757,473.1,152.49,1882.1,149.79897747469448
CLT-DEN,15-30,13069,521.1211072002449,526.69,121.48,2166.59,143.92839985564885
CLT-DEN,31-60,16484,503.2151280029119,460.7,106.49,2506.69,272.11836853425916
CLT-DFW,0-3,4466,358.2882131661442,292.08,196.49,2209.1,162.3678646100833
CLT-DFW,4-7,5894,370.83524092297256,332.08,172.08,1808.11,149.25634489596524
CLT-DFW,8-14,10969,364.1928115598505,332.1,125.08,1491.51,144.21968482675703
CLT-DFW,15-30,18441,369.48445854346295,332.11,132.49,1748.1,151.1220743604788
CLT-DFW,31-60,27853,353.0739277636161,307.1,102.48,1748.1,149.50493094273563
CLT-DTW,0-3,4429,407.1388304357643,457.1,178.1,2009.1,122.5592133123312
CLT-DTW,4-7,5188,368.5832208943716,366.1,153.08,2009.1,114.8432481679048
