route,0-3,4-7,8-14,15-30,31-60,last_minute_price_increase_pct,early_vs_late_pct
IAD-DEN,367.6,454.6,488.6,498.6,484.6,-24.764633647155133,31.82807399347116
IAD-DFW,305.61,346.11,360.19,357.6,357.6,-15.153113634470694,17.01187788357712
IAD-DTW,248.6,218.6,218.6,218.6,218.6,13.723696248856365,-12.06757843925985
IAD-EWR,353.71,338.6,318.59,328.6,351.09,11.02357261684297,-0.7407197987051584
IAD-JFK,407.2,409.6,400.6,398.09,412.405,1.6475287069395828,1.278241650294687
IAD-LAX,407.6,467.6,528.59,567.6,534.19,-22.889195785012962,31.057409224730126
IAD-LGA,422.2,423.11,423.11,407.2,421.1,-0.21507409420719048,-0.2605400284225401
IAD-MIA,383.4,317.6,316.1,335.2,351.6,21.29073078139827,-8.294209702660392
IAD-OAK,666.1,711.04,746.405,772.2,756.1,-10.75890434817558,13.511484762047733
IAD-ORD,282.1,317.6,328.6,338.59,316.1,-14.150943396226412,12.052463665366897
IAD-PHL,490.2,496.0,495.1,412.0,366.3,-0.9896990506968351,-25.27539779681762
IAD-SFO,547.6,537.6,538.6,628.6,607.22,1.6709988860007519,10.887509130752381
JFK-ATL,297.1,296.1,297.6,298.59,297.1,-0.16801075268817467,0.0
JFK-BOS,153.6,148.6,148.6,148.6,143.6,3.364737550471064,-6.5104166666666625
JFK-CLT,228.6,228.6,237.2,217.61,201.6,-3.6256323777403066,-11.811023622047244
JFK-DEN,535.6,541.1,551.61,571.2,575.6,-2.9024129366762685,7.468259895444351
JFK-DFW,288.6,398.6,395.695,386.7,363.61,-27.065037465724863,25.99099099099098
JFK-DTW,382.7,348.6,313.6,300.1,302.11,22.03443877551019,-21.05827018552391
JFK-IAD,402.1,398.7,396.09,391.09,398.09,1.517331919513265,-0.9972643620989929
JFK-LAX,395.6,411.6,437.6,480.87,458.6,-9.597806215722116,15.925176946410513
JFK-MIA,206.6,174.6,148.6,198.6,216.11,39.03095558546434,4.603097773475318
JFK-OAK,579.6,579.6,597.2,614.195,598.6,-2.9470864032150046,3.2781228433402365
JFK-ORD,491.6,498.2,504.35,505.7,492.2,-2.5280063448002377,0.12205044751829597
JFK-PHL,432.61,387.2,342.205,311.6,286.6,26.41837495068746,-33.750953514713025
JFK-SFO,384.35,426.7,458.6,498.6,456.6,-16.19058002616659,18.7979705997138
LAX-ATL,581.6,527.21,507.6,528.6,498.6,14.578408195429482,-14.27097661623109
LAX-BOS,489.58,542.6,558.6,571.4,517.34,-12.355889724310787,5.670166264961818
LAX-CLT,498.6,542.6,558.6,567.21,523.6,-10.741138560687435,5.014039310068186
LAX-DEN,253.6,258.59,264.6,288.6,292.61,-4.1572184429327415,15.382492113564684
LAX-DFW,326.6,334.01,335.6,346.59,321.7,-2.681764004767584,-1.5003061849357069
LAX-DTW,579.6,557.6,556.1,567.21,514.0,4.2258586585146585,-11.31815044858524
LAX-EWR,478.61,516.1,510.26,515.6,477.44,-6.2027201818680595,-0.24445790936252765
LAX-IAD,498.6,537.6,567.6,617.2,566.1,-12.156448202959835,13.537906137184109
LAX-JFK,504.6,517.11,537.6,513.6,487.6,-6.13839285714286,-3.369005152596116
LAX-LGA,467.6,510.61,517.6,540.19,487.6,-9.659969088098919,4.277159965782729
LAX-MIA,507.6,511.6,507.6,503.6,466.6,0.0,-8.07722616233254
LAX-OAK,446.2,424.2,412.37,422.7,367.2,8.203797560443293,-17.705064993276554
LAX-ORD,398.58,428.6,428.6,428.6,428.6,-7.004199720018677,7.53173766872397
LAX-PHL,488.6,538.6,565.6,586.6,567.6,-13.613861386138614,16.16864510847318
LAX-SFO,178.6,178.6,178.6,197.6,208.61,0.0,16.80291153415454
LGA-ATL,244.6,211.1,202.6,198.61,207.6,20.730503455083916,-15.126737530662304
LGA-BOS,148.6,133.6,128.6,118.6,118.6,15.552099533437014,-20.188425302826385
LGA-CLT,218.6,218.6,218.6,181.6,182.21,0.0,-16.646843549862755
LGA-DEN,301.6,332.61,372.6,383.61,354.6,-19.055287171229196,17.572944297082227
LGA-DFW,227.6,218.6,257.21,258.6,244.6,-11.511994090431942,7.469244288224952
LGA-DTW,248.6,221.58,188.1,178.6,195.6,32.163742690058484,-21.319388576025744
LGA-IAD,418.7,423.11,416.6,391.09,401.1,0.5040806529044595,-4.20348698352041
LGA-LAX,384.58,396.07,444.6,472.2,467.6,-13.499775078722454,21.587186021113958
LGA-MIA,214.6,183.6,181.6,207.6,223.6,18.171806167400884,4.193849021435225
LGA-OAK,670.6,701.71,743.1,771.71,763.1,-9.756425783878342,13.793617655830603
LGA-ORD,193.6,186.1,172.6,181.6,176.6,12.166859791425267,-8.780991735537192
LGA-PHL,431.6,417.1,400.6,347.59,323.61,7.738392411382922,-25.020852641334567
LGA-SFO,397.11,521.21,556.1,631.6,577.6,-28.590181622010434,45.45088262697994
MIA-ATL,298.6,250.61,248.6,268.6,256.61,20.112630732099767,-14.062290689886137
MIA-BOS,237.6,228.6,198.6,217.61,233.61,19.63746223564955,-1.6792929292929193
MIA-CLT,252.2,308.6,308.6,308.6,307.2,-18.27608554763449,21.808088818398108
MIA-DEN,370.6,371.2,415.61,432.6,419.6,-10.829864536464473,13.221802482460877
MIA-DFW,294.6,294.6,259.6,254.6,244.6,13.48228043143298,-16.972165648336734
MIA-DTW,306.6,294.6,217.61,247.61,247.61,40.8942603740637,-19.24005218525766
MIA-EWR,193.6,180.6,188.6,226.6,248.6,2.6511134676564074,28.409090909090917
MIA-IAD,316.1,316.1,317.6,347.2,351.6,-0.4722921914357636,11.230623220499837
MIA-JFK,184.6,174.6,139.6,198.6,214.61,32.234957020057294,16.256771397616475
MIA-LAX,361.58,370.6,408.6,403.6,403.6,-11.507586882036225,11.621217987720577
MIA-LGA,184.6,174.6,139.6,198.6,223.6,32.234957020057294,21.126760563380277
MIA-OAK,745.08,762.7,757.1,757.895,747.1,-1.5876370360586423,0.2711118269179025
MIA-ORD,222.6,227.6,245.6,254.6,248.6,-9.364820846905541,11.680143755615457
MIA-PHL,223.6,212.6,212.6,236.6,240.6,5.174035747883354,7.602862254025045
MIA-SFO,491.6,508.6,525.59,552.2,531.19,-6.467018017846615,8.053295362082991
OAK-ATL,704.69,698.09,667.2,667.6,637.2,5.619004796163063,-9.577260923242847
OAK-BOS,666.1,748.6,771.7,783.6,715.7,-13.684074122068168,7.446329379972982
OAK-CLT,722.08,772.71,767.1,786.32,747.1,-5.868856733150829,3.46499002880567
OAK-DEN,487.19,481.6,481.59,477.59,461.6,1.1628148425008922,-5.252570865576056
OAK-DFW,517.11,518.7,517.11,445.2,426.58,0.0,-17.50691342267603
OAK-DTW,697.11,728.4100000000001,716.6,737.11,687.6,-2.7197878872453285,-1.364203640745365
OAK-EWR,608.6,617.59,608.6,647.6,637.2,0.0,4.699309891554382
OAK-IAD,667.2,692.71,716.69,741.59,711.59,-6.905356569786103,6.653177458033577
OAK-JFK,588.6,608.6,596.6,608.6,597.21,-1.3409319477036497,1.462793068297663
OAK-LAX,470.61,451.6,452.69,451.6,415.4,3.9585588371733538,-11.731582414313346
OAK-LGA,731.595,766.11,762.405,772.7,761.1,-4.041159226395408,4.032969060750835
OAK-MIA,797.09,802.7,782.7,788.6,792.395,1.838507729653771,-0.5890175513430185
OAK-ORD,545.2,534.2,541.2,587.2,541.6,0.7390983000739038,-0.6603081438004477
OAK-PHL,737.1,747.09,736.08,735.2049999999999,697.09,0.13857189435930728,-5.428028761362091
OAK-SFO,417.21,407.2,401.6,408.2,418.99,3.886952191235049,0.4266436566717102
ORD-ATL,238.6,247.6,260.11,271.58,272.6,-8.269578255353515,14.249790444258181
ORD-BOS,205.6,238.6,248.6,248.6,219.6,-17.296862429605795,6.809338521400776
ORD-CLT,202.6,200.6,191.6,229.6,238.6,5.741127348643005,17.7690029615005
ORD-DEN,268.6,332.4,348.6,351.6,362.19,-22.94893861158921,34.84363365599403
ORD-DFW,266.6,278.6,274.6,279.6,279.19,-2.9133284777858703,4.722430607651895
ORD-DTW,202.6,202.6,188.6,208.1,211.61,7.423117709437954,4.4471865745311145
ORD-EWR,208.61,228.6,228.6,248.6,254.6,-8.744531933508304,22.04592301423709
ORD-IAD,238.6,282.1,313.59,305.7,311.1,-23.91339009534742,30.385582564962288
ORD-JFK,477.2,487.2,492.2,497.6,487.2,-3.0475416497358743,2.095557418273253
ORD-LAX,351.6,351.6,342.6,371.6,371.6,2.626970227670755,5.688282138794087
ORD-LGA,192.58,186.1,168.61,173.6,176.6,14.216238657256387,-8.297850244054427
ORD-MIA,222.6,218.6,229.6,245.6,244.6,-3.0487804878048808,9.883198562443841
ORD-OAK,538.7,535.6,541.2,557.21,551.21,-0.4619364375461954,2.3222572860590374
ORD-PHL,215.6,211.6,230.6,273.6,264.58,-6.5047701647875105,22.717996289424857
ORD-SFO,351.6,376.61,444.59,482.59,455.6,-20.91590004273599,29.579067121729242
PHL-ATL,223.68,233.99,244.6,264.59,276.1,-8.55273916598528,23.435264663805434
PHL-BOS,198.1,188.6,198.6,188.6,168.61,-0.2517623363544774,-14.886420999495197
PHL-CLT,289.6,247.58,238.6,250.58,263.6,21.374685666387272,-8.977900552486185
PHL-DEN,370.6,400.6,450.6,499.6,461.61,-17.754105636928543,24.55747436589315
PHL-DFW,296.61,294.6,294.6,375.6,368.6,0.682281059063139,24.270928154816083
PHL-DTW,508.6,376.1,356.59,278.6,260.58,42.62878936593848,-48.76523790798271
PHL-EWR,460.7,446.1,435.09,387.21,396.69,5.88613850008044,-13.89407423486
PHL-IAD,490.2,467.7,446.6,382.1,343.2,9.762651141961488,-29.987760097919214
PHL-JFK,391.59,321.6,281.6,264.6,242.2,39.058948863636346,-38.1495952399193
PHL-LAX,370.6,398.6,438.6,511.6,507.1,-15.503875968992242,36.832164058283865
PHL-LGA,428.21,422.61,400.6,329.6,295.2,6.892161757363935,-31.0618621704304
PHL-MIA,232.6,212.6,212.6,226.58,235.6,9.40733772342428,1.2897678417884695
PHL-OAK,647.1,672.7,747.09,772.7,767.1,-13.38392964703048,18.544274455261945
PHL-ORD,215.6,211.6,224.6,257.6,253.6,-4.007123775601073,17.625231910946205
PHL-SFO,488.6,517.6,607.1,657.19,602.69,-19.519024872343927,23.350388866148176
SFO-ATL,598.61,598.61,595.1,614.01,574.01,0.5898168375062962,-4.109520388900956
SFO-BOS,547.6,597.205,642.74,669.6,577.6,-14.802252854964681,5.478451424397379
SFO-CLT,639.7,658.6,665.6,674.6,628.6,-3.891225961538458,-1.735188369548224
SFO-DEN,358.6,358.6,355.6,394.01,358.6,0.843644544431954,0.0
SFO-DFW,448.6,448.6,446.59,438.6,392.61,0.4500772520656726,-12.481052162282658
SFO-DTW,607.61,638.6,642.61,661.6,617.21,-5.446538335849116,1.579960830137761
SFO-EWR,558.6,558.6,556.6,590.6,547.6,0.35932446999640266,-1.9692087361260269
SFO-IAD,601.6,601.1,588.6,658.6,636.6,2.2086306489976115,5.817819148936176
SFO-JFK,537.6,574.34,577.6,567.6,493.6,-6.9252077562326875,-8.184523809523814
SFO-LAX,181.6,179.6,188.6,208.61,208.61,-3.711558854718977,14.873348017621147
SFO-LGA,571.59,634.605,648.61,667.2,627.2,-11.874624196358363,9.729001557060135
SFO-MIA,640.1500000000001,640.6,631.6,643.655,602.61,1.3537048765041249,-5.864250566273544
SFO-OAK,411.6,401.6,391.61,407.2,421.61,5.104568320522973,2.431972789115644
SFO-ORD,527.6,565.71,578.6,594.6,541.6,-8.814379536813,2.653525398028811
SFO-PHL,618.395,662.6,668.6,677.6,643.21,-7.508973975471145,4.012807348054248
